华东,商品_86,371,"上海16.44%,无锡15.90%,其他67.65%","上海16.44%,无锡15.90%,其他67.65%"
华东,商品_47,366,"杭州15.85%,青岛15.57%,其他68.58%","杭州15.85%,青岛15.57%,其他68.58%"
华东,商品_75,366,"上海17.49%,无锡15.57%,其他66.94%","上海17.49%,无锡15.57%,其他66.94%"
西北,商品_15,116,"西安54.31%,银川45.69%,其他.00%","西安54.31%,银川45.69%,其他.00%"
西北,商品_2,114,"银川53.51%,西安46.49%,其他.00%","银川53.51%,西安46.49%,其他.00%"
西北,商品_22,113,"西安54.87%,银川45.13%,其他.00%","西安54.87%,银川45.13%,其他.00%"
华南,商品_23,224,"厦门29.02%,深圳24.55%,其他46.43%","厦门29.02%,深圳24.55%,其他46.43%"
华南,商品_65,222,"深圳27.93%,厦门26.58%,其他45.50%","深圳27.93%,厦门26.58%,其他45.50%"
华南,商品_50,212,"福州27.36%,深圳25.94%,其他46.70%","福州27.36%,深圳25.94%,其他46.70%"
华北,商品_42,264,"保定25.00%,郑州25.00%,其他50.00%","保定25.00%,郑州25.00%,其他50.00%"
华北,商品_99,264,"北京24.24%,郑州23.48%,其他52.27%","北京24.24%,郑州23.48%,其他52.27%"
华北,商品_19,260,"郑州23.46%,保定20.38%,其他56.15%","郑州23.46%,保定20.38%,其他56.15%"
东北,商品_41,169,"哈尔滨35.50%,大连34.91%,其他29.59%","哈尔滨35.50%,大连34.91%,其他29.59%"
东北,商品_91,165,"哈尔滨35.76%,大连32.73%,其他31.52%","哈尔滨35.76%,大连32.73%,其他31.52%"
东北,商品_58,159,"沈阳37.74%,大连32.08%,其他30.19%","沈阳37.74%,大连32.08%,其他30.19%"
东北,商品_93,159,"哈尔滨38.36%,大连37.11%,其他24.53%","哈尔滨38.36%,大连37.11%,其他24.53%"
华中,商品_62,117,"武汉51.28%,长沙48.72%,其他.00%","武汉51.28%,长沙48.72%,其他.00%"
华中,商品_4,113,"长沙53.10%,武汉46.90%,其他.00%","长沙53.10%,武汉46.90%,其他.00%"
华中,商品_57,111,"武汉54.95%,长沙45.05%,其他.00%","武汉54.95%,长沙45.05%,其他.00%"
华中,商品_29,111,"武汉50.45%,长沙49.55%,其他.00%","武汉50.45%,长沙49.55%,其他.00%"
西南,商品_1,176,"贵阳35.80%,成都35.80%,其他28.41%","贵阳35.80%,成都35.80%,其他28.41%"
西南,商品_44,169,"贵阳37.28%,成都34.32%,其他28.40%","贵阳37.28%,成都34.32%,其他28.40%"
西南,商品_60,163,"重庆39.88%,成都30.67%,其他29.45%","重庆39.88%,成都30.67%,其他29.45%"
